date,time,repository,activity,description
2017-03-24,02:02:36,java-game,commit,Update to GrassTile.java
2017-03-24,02:02:29,java-game,commit,Update to RandomLevel.java
2017-03-24,02:02:19,java-game,commit,Update to Level.java
2017-03-24,02:02:09,java-game,commit,Update to Sprite.java
2017-03-24,02:02:01,java-game,commit,Update to Screen.java
2017-03-24,02:01:55,java-game,commit,Created Mob.java
2017-03-24,02:01:49,java-game,commit,Created Entity.java
2017-03-24,02:01:42,java-game,commit,Updates to game.java
2017-03-06,05:11:09,java-game,commit,Creation of VoidTile.java  Created the VoidTile class
2017-03-06,05:10:55,java-game,commit,Update to tile.java  create a voidTile
2017-03-06,05:10:45,java-game,commit,Update to level.java  Returning voidTile instead of null
2017-03-06,05:10:31,java-game,commit,Update to sprite.java  Creating voidSprite and specifying constructor
2017-03-06,05:00:01,java-game,commit,"Update to level.java  Imported Tile into Level class, included function to get tiles."
2017-03-06,04:50:50,java-game,commit,Update to GrassTile.java  Beginning to render the Grass Tile
2017-03-06,04:50:29,java-game,commit,"Update to level.java  Defining the render region of the screen by defining x0, x1, y0 and y1"
2017-03-06,04:50:09,java-game,commit,Update to screen.java  Changing width and height variables to public
2017-03-06,04:49:52,java-game,commit,Update to .gitignore file  Ignoring all .psd files.
2017-03-05,22:52:56,java-game,commit,Update to Level.java
2017-02-28,02:12:31,java-game,commit,Update to README.md
2017-02-27,03:16:33,java-game,commit,"Update to Screen.java  Nesting for loop for x, adding code to restrict screen and to defile pixels."
2017-02-26,03:17:25,java-game,commit,Created character.png  A simple character sprite sheet for testing purposes.
2017-02-26,03:17:12,java-game,commit,Update to screen.java  Included function for rendering individual tiles in the game.
2017-02-25,02:16:37,java-game,commit,Created GrassTile.java  Created new class GrassTile for grass tiles.
2017-02-25,02:16:17,java-game,commit,Update to Tile.java  Added a new tile for GrassTile
2017-02-25,02:15:50,java-game,commit,Update to game.java  Changed scaling of the canvas.
2017-02-25,02:15:31,java-game,commit,Update to sprite sheet.png  Redesigned the Grass tile on the spritesheet.
2017-02-24,02:29:35,java-game,commit,Creation of Tile.java  Created new class for Tiles.
2017-02-24,01:08:47,java-game,commit,Creation of RandomLevel class  Created RandomLevel class to randomly generate levels within the game.
2017-02-24,01:08:25,java-game,commit,"Update to level.java  Changing private to protected for int width, int height, int[] tiles and generateLevel()"
2017-02-23,05:35:29,java-game,commit,Creation of level.java  Created Level class to implement levels at a later point
2017-02-23,05:20:00,java-game,commit,Bug Fix  Changed “y < width” to “x < width”
2017-02-23,04:47:52,java-game,commit,Update to .gitignore file  Added .classpath and .psd
2017-02-23,04:47:27,java-game,commit,Creation of spritesheet.png
2017-02-23,04:47:19,java-game,commit,Creation of sprite.java
2017-02-23,04:47:13,java-game,commit,Creation of spritesheet.java
2017-02-23,04:47:04,java-game,commit,Update to keyboard.java
2017-02-23,04:46:59,java-game,commit,Update to screen.java
2017-02-23,04:46:47,java-game,commit,Update to game.java
2017-02-22,18:41:57,java-game,commit,Updates to game.java
2017-02-22,18:41:49,java-game,commit,Updates to screen.java
2017-02-22,18:41:43,java-game,commit,Initial Commit keyboard.java
2017-02-22,08:38:24,java-game,commit,Updates to game.java  Changing application screen size.
2017-02-22,08:38:10,java-game,commit,Update to screen.java  updates to screen.java
2017-02-22,08:24:43,java-game,commit,Update to screen.java
2017-02-22,08:24:36,java-game,commit,Update to game.java
2017-02-22,06:39:41,java-game,commit,Created screen.java
2017-02-22,06:39:32,java-game,commit,Update to game.java  Working with screen.java
2017-02-22,06:32:41,java-game,commit,Update to game.java  Update to game.java
2017-02-22,06:32:33,java-game,commit,Update to .gitignore  Added .project to .gitignore file
2017-02-22,06:26:17,java-game,commit,Update to game.java
2017-02-22,06:26:11,java-game,commit,Create file .gitignore
2017-02-22,06:19:14,java-game,commit,Create README.md  Creating a README file.
2017-02-22,06:17:39,java-game,commit,Removing game.cass and bin
2017-02-22,06:17:24,java-game,commit,Removing .project
2017-02-22,06:17:15,java-game,commit,Removing .classpath
2017-02-22,06:17:03,java-game,commit,Removing .settings
2017-02-22,06:08:02,java-game,commit,Update to game.java
2017-02-22,04:54:11,java-game,commit,Update to game.java
2017-02-22,04:27:51,java-game,commit,Update to game.java
2017-02-22,04:19:47,java-game,commit,Update to game.java
2017-02-22,04:12:26,java-game,commit,Initial Commit for Game files
2019-02-04,02:43:17,jessicafelts-2019_theme,commit,Created: functions file for theme.
2019-02-04,02:43:06,jessicafelts-2019_theme,commit,Created: single posts template
2019-02-04,02:42:52,jessicafelts-2019_theme,commit,Created: comments template
2019-02-04,02:42:42,jessicafelts-2019_theme,commit,Created: author template
2019-02-04,02:42:29,jessicafelts-2019_theme,commit,Created: 404 template
2019-02-04,02:42:14,jessicafelts-2019_theme,commit,Updated: front-page template
2019-02-04,02:42:03,jessicafelts-2019_theme,commit,Updated: header and footer templates.
2019-02-03,17:53:35,jessicafelts-2019_theme,commit,Created: README.md file for this project.
2019-02-03,17:52:40,jessicafelts-2019_theme,commit,Deleted: all unnecessary files left over from merge.
2019-02-03,17:51:48,jessicafelts-2019_theme,commit,"Merge: merging files, will clean up later."
2019-02-03,17:44:52,jessicafelts-2019_theme,commit,Updated: index to include header and footer inclues.
2019-02-03,17:44:39,jessicafelts-2019_theme,commit,Updated: front-page to included header and footer includes.
2019-02-03,17:44:21,jessicafelts-2019_theme,commit,Created: header.php and footer.php to include in theme templates.
2019-02-03,17:44:01,jessicafelts-2019_theme,commit,Created: style.css file required by WP themes.
2019-02-03,17:42:00,jessicafelts-2019_theme,commit,"Updated: README.md file, to include correct title and subtitle."
2019-02-03,17:39:16,jessicafelts-2019_theme,commit,"Deleted: Accidentally merged from theme directory, deleting front-page and index file duplicates."
2019-02-03,17:31:42,jessicafelts-2019_theme,commit,Merge branch 'master' of https://github.com/thejessicafelts/jessicafelts-2019_theme
2019-02-03,17:28:58,jessicafelts-2019_theme,commit,Renamed: style.scss to main.scss for all main styles to be included.
2019-02-03,17:28:22,jessicafelts-2019_theme,commit,Added: header and footer files to be included in template files.
2019-02-03,17:27:52,jessicafelts-2019_theme,commit,Updated: index to include header and footer includes.
2019-02-03,17:27:34,jessicafelts-2019_theme,commit,Updated: front-page to included header and footer includes.
2019-02-03,17:26:49,jessicafelts-2019_theme,commit,Updated: gulpfile to remove browsersync options.
2019-02-03,03:25:55,jessicafelts-2019_theme,commit,Initial Commit
2019-02-03,03:22:55,jessicafelts-2019_theme,commit,"created a new theme source, initial commit of most files."
2019-02-03,01:09:23,jessicafelts-2019_theme,commit,Initial commit
2019-02-04,02:41:00,jessicafelts-2019_theme_src,commit,"Created: assets folder, and included main.js and main.scss files."
2019-02-04,02:40:35,jessicafelts-2019_theme_src,commit,Created: functions file for theme
2019-02-04,02:40:16,jessicafelts-2019_theme_src,commit,Updated: front-page template
2019-02-04,02:40:00,jessicafelts-2019_theme_src,commit,Created: single post template
2019-02-04,02:39:42,jessicafelts-2019_theme_src,commit,Created: comments template
2019-02-04,02:39:24,jessicafelts-2019_theme_src,commit,Created: author template
2019-02-04,02:39:09,jessicafelts-2019_theme_src,commit,Created: 404 error page.
2019-02-04,02:38:50,jessicafelts-2019_theme_src,commit,Updated: header and footer templates.
2019-02-04,02:38:23,jessicafelts-2019_theme_src,commit,"Deleted: main.scss file, attemping to rework the css structure of this project."
2019-02-03,17:42:00,jessicafelts-2019_theme_src,commit,"Updated: README.md file, to include correct title and subtitle."
2019-02-03,17:39:16,jessicafelts-2019_theme_src,commit,"Deleted: Accidentally merged from theme directory, deleting front-page and index file duplicates."
2019-02-03,17:31:42,jessicafelts-2019_theme_src,commit,Merge branch 'master' of https://github.com/thejessicafelts/jessicafelts-2019_theme
2019-02-03,17:28:58,jessicafelts-2019_theme_src,commit,Renamed: style.scss to main.scss for all main styles to be included.
2019-02-03,17:28:22,jessicafelts-2019_theme_src,commit,Added: header and footer files to be included in template files.
2019-02-03,17:27:52,jessicafelts-2019_theme_src,commit,Updated: index to include header and footer includes.
2019-02-03,17:27:34,jessicafelts-2019_theme_src,commit,Updated: front-page to included header and footer includes.
2019-02-03,17:26:49,jessicafelts-2019_theme_src,commit,Updated: gulpfile to remove browsersync options.
2019-02-03,03:25:55,jessicafelts-2019_theme_src,commit,Initial Commit
2019-02-03,03:22:55,jessicafelts-2019_theme_src,commit,"created a new theme source, initial commit of most files."
2019-02-03,01:09:23,jessicafelts-2019_theme_src,commit,Initial commit
2017-08-30,14:22:43,jm-orangegrove-plugin,commit,Update to plugin.php
2017-06-07,11:48:25,jm-orangegrove-plugin,commit,Initial Commit for Jack Morton Data plugin.
2017-08-30,14:41:56,jm-orangegrove-theme,commit,Create template-list.php
2017-08-30,14:41:40,jm-orangegrove-theme,commit,Create template-grid_4-column.php
2017-08-30,14:41:24,jm-orangegrove-theme,commit,Create template-grid_3-column.php
2017-08-30,14:41:03,jm-orangegrove-theme,commit,Create template-dashboard_local.php
2017-08-30,14:40:47,jm-orangegrove-theme,commit,Create template-custom_landing.php
2017-08-30,14:40:24,jm-orangegrove-theme,commit,Create style.css
2017-08-30,14:40:12,jm-orangegrove-theme,commit,Create single-shout_outs.php
2017-08-30,14:40:01,jm-orangegrove-theme,commit,Create single-rfp_boilerplate.php
2017-08-30,14:39:45,jm-orangegrove-theme,commit,Create single-presentations.php
2017-08-30,14:39:34,jm-orangegrove-theme,commit,Create single-photography.php
2017-08-30,14:39:19,jm-orangegrove-theme,commit,Create single-news.php
2017-08-30,14:39:09,jm-orangegrove-theme,commit,Create single-names_faces.php
2017-08-30,14:38:55,jm-orangegrove-theme,commit,Create single-jack_work.php
2017-08-30,14:38:43,jm-orangegrove-theme,commit,Create single-jack_play.php
2017-08-30,14:38:23,jm-orangegrove-theme,commit,Create single-illustrations.php
2017-08-30,14:38:10,jm-orangegrove-theme,commit,Create single-hr_article.php
2017-08-30,14:37:56,jm-orangegrove-theme,commit,Create single-completed_proposal.php
2017-08-30,14:37:42,jm-orangegrove-theme,commit,Create single-com_article.php
2017-08-30,14:37:29,jm-orangegrove-theme,commit,Create single-case_study.php
2017-08-30,14:36:55,jm-orangegrove-theme,commit,Create single-brand_assets.php
2017-08-30,14:36:21,jm-orangegrove-theme,commit,Create searchform.php
2017-08-30,14:36:10,jm-orangegrove-theme,commit,Create search.php
2017-08-30,14:35:57,jm-orangegrove-theme,commit,Create results-rfp_boilerplates.php
2017-08-30,14:35:37,jm-orangegrove-theme,commit,Create results-photography.php
2017-08-30,14:35:13,jm-orangegrove-theme,commit,Create results-names_faces.php
2017-08-30,14:35:01,jm-orangegrove-theme,commit,Create results-illustrations.php
2017-08-30,14:34:49,jm-orangegrove-theme,commit,Create results-hr.php
2017-08-30,14:34:26,jm-orangegrove-theme,commit,Create results-communications.php
2017-08-30,14:34:14,jm-orangegrove-theme,commit,Create results-case_studies.php
2017-08-30,14:34:01,jm-orangegrove-theme,commit,Create local-shout-outs.php
2017-08-30,14:33:22,jm-orangegrove-theme,commit,Create local-names_faces.php
2017-08-30,14:33:02,jm-orangegrove-theme,commit,Create local-jack_work.php
2017-08-30,14:32:51,jm-orangegrove-theme,commit,Create local-jack_play.php
2017-08-30,14:32:39,jm-orangegrove-theme,commit,Create index.php
2017-08-30,14:32:28,jm-orangegrove-theme,commit,Create HR_test.php
2017-08-30,14:32:13,jm-orangegrove-theme,commit,Create header.php
2017-08-30,14:32:01,jm-orangegrove-theme,commit,Create functions.php
2017-08-30,14:31:50,jm-orangegrove-theme,commit,Create front-page.php
2017-08-30,14:31:38,jm-orangegrove-theme,commit,Create footer.php
2017-08-30,14:31:28,jm-orangegrove-theme,commit,Create archive-shout-outs.php
2017-08-30,14:30:50,jm-orangegrove-theme,commit,Create archive-rfp_boilerplate.php
2017-08-30,14:30:31,jm-orangegrove-theme,commit,Create archive-presentations.php
2017-08-30,14:30:18,jm-orangegrove-theme,commit,Create archive-photography.php
2017-08-30,14:29:55,jm-orangegrove-theme,commit,Create archive-news.php
2017-08-30,14:29:20,jm-orangegrove-theme,commit,Create archive-names_faces.php
2017-08-30,14:29:05,jm-orangegrove-theme,commit,Create archive-jack_work.php
2017-08-30,14:28:49,jm-orangegrove-theme,commit,Create archive-jack_play.php
2017-08-30,14:28:34,jm-orangegrove-theme,commit,Create archive-jack_awards.php
2017-08-30,14:28:18,jm-orangegrove-theme,commit,Create archive-illustrations.php
2017-08-30,14:28:02,jm-orangegrove-theme,commit,Create archive-hr_article.php
2017-08-30,14:27:42,jm-orangegrove-theme,commit,Create archive-completed_proposal.php
2017-08-30,14:27:24,jm-orangegrove-theme,commit,Create archive-com_article.php
2017-08-30,14:27:06,jm-orangegrove-theme,commit,Create archive-case_study.php
2017-08-30,14:26:44,jm-orangegrove-theme,commit,Create archive-brand_assets.php
2017-08-30,14:26:19,jm-orangegrove-theme,commit,Create 404.php
2017-08-30,14:25:44,jm-orangegrove-theme,commit,Create README.md
2025-04-08,11:51:03,job-seeker,commit,Adding cover image
2025-04-08,11:33:47,job-seeker,commit,Updating documentation
2025-04-08,11:18:14,job-seeker,commit,Searching for unique results
2025-04-08,11:11:17,job-seeker,commit,renaming processed_urls.txt to sampleProcessedUrls.txt
2025-04-08,11:06:12,job-seeker,commit,update to processed urls
2025-04-08,11:05:26,job-seeker,commit,update to processed urls
2025-04-08,11:03:52,job-seeker,commit,Updates to script
2025-04-08,11:03:30,job-seeker,commit,blank processed_urls.txt file
2025-04-08,10:34:32,job-seeker,commit,Updates to README.md
2025-04-08,10:29:59,job-seeker,commit,Update to .gitignore
2025-04-08,10:29:19,job-seeker,commit,Updates to sample config file
2025-04-08,10:01:24,job-seeker,commit,Update to README.md
2025-04-08,09:57:53,job-seeker,commit,Update to gitignore
2025-04-08,09:57:14,job-seeker,commit,Initial commit
2025-04-08,09:55:16,job-seeker,commit,README.md file
2025-04-08,09:35:12,job-seeker,commit,.gitignore file
2025-04-08,09:33:32,job-seeker,commit,Sample config file
2025-03-17,04:12:38,job-tracker,commit,Initial Commit for project
2018-02-01,02:18:44,js-bookmarks-app,commit,updated file: updated README.md
2017-08-30,18:24:00,js-bookmarks-app,commit,Initial commit for CSS and JS files.
2017-08-30,18:22:26,js-bookmarks-app,commit,Initial commit for CSS and JS files.
2017-08-30,17:58:32,js-bookmarks-app,commit,Initial commit
2024-06-15,01:54:41,lab-notebooks,commit,Adding Organic Chemistry Notebook
2024-06-15,01:54:33,lab-notebooks,commit,Adding Introduction to Chemistry Notebook
2024-06-15,01:54:22,lab-notebooks,commit,Adding Biochemistry Notebook
2024-06-15,01:54:11,lab-notebooks,commit,Adding Neuroscience Notebook
2024-06-15,01:50:21,lab-notebooks,commit,Adding  General Chemistry Notebook
2024-06-15,01:48:52,lab-notebooks,commit,Nesting Folders into Biology
2024-06-15,01:46:36,lab-notebooks,commit,Adding Unknown Samples Lab Folder
2024-06-15,01:46:28,lab-notebooks,commit,Adding Spectrophotometry Lab Folder
2024-06-15,01:46:16,lab-notebooks,commit,Adding SNP Lab Folder
2024-06-15,01:45:55,lab-notebooks,commit,Adding pVIB Lab Folder
2024-06-15,01:45:47,lab-notebooks,commit,Adding Microscopic Observations Lab Folder
2024-06-15,01:45:31,lab-notebooks,commit,Adding Enzyme Kinetics Lab Folder
2024-06-15,01:45:17,lab-notebooks,commit,Relocating Spectrophotometry Lab PDF
2024-06-15,01:41:20,lab-notebooks,commit,Adding AP Respiratory System Folder
2024-06-15,01:41:08,lab-notebooks,commit,Adding AP Nervous System Folder
2024-06-15,01:41:01,lab-notebooks,commit,Adding AP Lymphatic System Folder
2024-06-15,01:40:54,lab-notebooks,commit,Adding AP Circulatory System Folder
2024-06-15,01:40:46,lab-notebooks,commit,Adding AP Cardiovascular System Folder
2024-06-15,01:40:36,lab-notebooks,commit,Adding AP Blood Folder
2024-06-15,01:40:21,lab-notebooks,commit,Updating .gitignore
2024-06-15,01:25:28,lab-notebooks,commit,Moving installation guide to main directory
2024-06-15,01:23:02,lab-notebooks,commit,Renaming lab folder to cellular biology
2024-06-15,01:20:02,lab-notebooks,commit,Placing all content into cellular biology folder
2024-06-15,01:17:27,lab-notebooks,commit,Organizing Sketches into Folders
2024-06-15,01:15:04,lab-notebooks,commit,Specimen I Sketch
2024-06-15,01:14:59,lab-notebooks,commit,Specimen H Sketch
2024-06-15,01:14:53,lab-notebooks,commit,Specimen G Sketch
2024-06-15,01:14:48,lab-notebooks,commit,Specimen F Sketch
2024-06-15,01:14:43,lab-notebooks,commit,Specimen E Sketch
2024-06-15,01:14:38,lab-notebooks,commit,Specimen D Sketch
2024-06-15,01:14:33,lab-notebooks,commit,Specimen C Sketch
2024-06-15,01:14:28,lab-notebooks,commit,Specimen B Sketch
2024-06-15,01:14:23,lab-notebooks,commit,Specimen A Sketch
2024-06-15,01:14:11,lab-notebooks,commit,Updating .gitignore
2024-06-15,00:56:51,lab-notebooks,commit,Specimen E Images
2024-06-15,00:56:46,lab-notebooks,commit,Specimen D Images
2024-06-15,00:56:38,lab-notebooks,commit,Specimen C Images
2024-06-15,00:56:28,lab-notebooks,commit,Specimen B Images
2024-06-15,00:56:19,lab-notebooks,commit,Specimen A Images
2024-06-15,00:44:05,lab-notebooks,commit,Updating PDF
2024-06-15,00:42:40,lab-notebooks,commit,Adding Final PDF to folder
2024-06-15,00:41:13,lab-notebooks,commit,Import from Microscope Observations Assignment
2024-06-14,23:42:23,lab-notebooks,commit,Updated Folder Name
2024-06-13,19:55:15,lab-notebooks,commit,Adding Spectrophotometry Folder
2024-06-13,19:54:58,lab-notebooks,commit,Adding Figures to Folder
2024-06-13,19:54:44,lab-notebooks,commit,Adding Tables to Folder
2024-06-13,18:21:24,lab-notebooks,commit,Adding Notebook for Spectrophotometry Lab
2024-06-13,18:21:09,lab-notebooks,commit,Adding MD file for common installs
2024-06-13,01:45:50,lab-notebooks,commit,Initial commit
2015-07-29,08:08:46,localevents,commit,Updated linkage  Updated linkage
2015-07-25,02:55:29,localevents,commit,Moved README.md to root level  Moved README.md from documentation folder to root level.
2015-07-22,13:39:47,localevents,commit,Initial Commit for images.md  Created file images.md. Placed file in new folder img.
2015-07-22,13:32:57,localevents,commit,Update to README.md  Renamed file to readme.md. Updated file to reflect current progress on website. Relocated the file to a new folder called documentation.
2015-07-22,13:18:38,localevents,commit,Initial Commit for style.css  Created style.css for the About page. Created a folder css inside of the about folder.
2015-07-22,13:17:35,localevents,commit,"Initial Commit for index.html  Created index.html for the About page, and added it to a folder called About"
2015-07-22,13:16:15,localevents,commit,"Initial Commit for style.css  Created style.css file, and created css folder."
2015-07-22,13:15:09,localevents,commit,Initial Commit for index.html  Created index.html
2015-03-22,22:18:49,localevents,commit,Update README.md
2015-03-22,22:18:34,localevents,commit,Update README.md
2015-03-22,22:16:41,localevents,commit,Initial commit
2016-06-27,08:36:37,maintenance,commit,Uploading Images  Including images used in the promotion of this design.
2016-06-24,17:51:08,maintenance,commit,Update to main.css  Revisited mobile optimization.
2016-06-24,17:50:54,maintenance,commit,Update to index.html  Revisited mobile optimization.
2016-06-24,17:25:24,maintenance,commit,Initial Commit  Initial Commit for favicon.png
2016-06-24,17:25:08,maintenance,commit,Initial Commit  Initial Commit for background.jpg
2016-06-24,17:24:55,maintenance,commit,Initial Commit  Initial Commit for main.css
2016-06-24,17:24:40,maintenance,commit,Initial Commit  Initial Commit for index.html
2023-09-09,00:43:00,math-physics,commit,Further updates to Chemistry constants
2023-09-08,23:56:34,math-physics,commit,Initial Commit for Chemistry constants
2025-04-13,14:12:41,mclaren-physicians,commit,Updating .gitignore to exclude ui files.
2025-04-13,10:54:51,mclaren-physicians,commit,Updates to main script.
2025-04-13,10:54:45,mclaren-physicians,commit,Updating .gitignore to exclude output files.
2025-04-13,10:54:25,mclaren-physicians,commit,Removing ids lsit
2024-05-24,01:33:52,mclaren-physicians,commit,Main Script File
2024-05-24,01:33:41,mclaren-physicians,commit,Initial Physican CSV file
2024-05-24,01:32:52,mclaren-physicians,commit,Updating README.md File
2024-05-24,01:32:04,mclaren-physicians,commit,Updating README.md File
2024-05-23,18:26:00,mclaren-physicians,commit,Initial commit
2024-06-17,17:27:07,Medicine,commit,Adding Lung Cancer Dataset
2024-06-15,18:16:34,Medicine,commit,Update README.md
2024-06-15,18:15:17,Medicine,commit,Update README.md
2024-06-15,18:05:22,Medicine,commit,Adding Project: McLaren Physician Directory Scraper
2024-06-15,17:49:27,Medicine,commit,Update README.md
2024-06-15,17:49:13,Medicine,commit,Initial commit
2024-06-17,17:17:01,medicine__lung-cancer-dataset,commit,JSON Dataset
2024-06-17,17:16:49,medicine__lung-cancer-dataset,commit,Including .gitignore file
2024-06-17,17:13:30,medicine__lung-cancer-dataset,commit,Updating README with Dataset Information
2024-06-17,17:01:59,medicine__lung-cancer-dataset,commit,Initial commit
2023-08-08,07:30:56,Neural-Network-from-Scratch,commit,Created devlog file; Update 20230808.001
2023-08-08,07:27:58,Neural-Network-from-Scratch,commit,Initial updates to README.md file.
2023-08-08,07:22:49,Neural-Network-from-Scratch,commit,Initial commit
2024-06-15,17:49:03,Neuroscience,commit,Update README.md
2024-06-15,17:48:52,Neuroscience,commit,Initial commit
2017-01-16,13:07:57,old-enough-to-drive,commit,Update to age.js
2016-03-01,18:04:16,old-enough-to-drive,commit,Updates to README.md
2016-03-01,18:02:45,old-enough-to-drive,commit,Created age.js
2016-03-01,18:02:14,old-enough-to-drive,commit,Create README.md
2017-03-10,21:26:34,orangegrove,commit,Update to main.css
2017-03-10,21:26:06,orangegrove,commit,Update to main.sass
2017-03-10,21:25:30,orangegrove,commit,Update _colors.sass  Added red color
2017-03-10,21:25:03,orangegrove,commit,Deleted names-faces.css  Deleted names-faces.css file
2017-03-10,21:24:33,orangegrove,commit,Renamed names-faces.sass to _names-faces.sass
2017-03-10,21:23:44,orangegrove,commit,Create _shoutouts.sass  Created a new sass file
2017-03-10,21:22:41,orangegrove,commit,Update _templates.sass
2017-03-10,21:22:06,orangegrove,commit,Create README.md
2017-03-10,21:21:16,orangegrove,commit,Create 1jack-shout-outs.php template file
2017-03-08,21:31:43,orangegrove,commit,"Update to Functions.php  Added new fields in the Advanced Custom Fields array, to deal with posts having the quote format."
2017-03-08,21:30:45,orangegrove,commit,Added Screenshot  Added a theme Screenshot to be displayed with theme information on the wordpress dashboard
2017-03-08,18:20:10,orangegrove,commit,Style updates  Various style updates for the site
2017-03-08,18:20:00,orangegrove,commit,Created a names-faces_landing.php template  Created the template for the Names & Faces page
2017-03-08,18:19:31,orangegrove,commit,Update to marketing-hr_landing.php  Adjusted code for calling the ACF 'blurb' field
2017-03-08,18:19:04,orangegrove,commit,prepros-6.config
2017-03-08,18:18:52,orangegrove,commit,Update to functions.php  Added new widget for the sidebar search on Names and Faces page; Added functionality for the Advanced Custom Fields plugin
2017-03-08,18:18:04,orangegrove,commit,Added styles for names-faces.sass  Added custom styles for the names-faces_landing.php template
2017-03-08,18:17:27,orangegrove,commit,Updates to main.js  Adjusted function responsible for removing width and height attributes from images within in .featured-images div on the #marketing-hr template
2017-03-08,18:16:20,orangegrove,commit,Added Advanced Custom Fields Plugin  Added files assocaited with the Advacned Custom Fields plugin
2017-03-07,21:59:41,orangegrove,commit,Update to marketing-hr_landing.php  Working to display excerpt on template
2017-03-07,21:59:13,orangegrove,commit,Update to functions.php  Added theme dependancies telling admin Advanced Custom Fields needs to be installed and activated
2017-03-07,20:52:47,orangegrove,commit,Update to styles  Updated styles
2017-03-07,20:52:34,orangegrove,commit,Created our-offices_landing.php  Created a new page template for the Our Offices page; based on the marketing-hr_landing.php template
2017-03-07,20:52:10,orangegrove,commit,Updated marketing-hr_landing.php template description  Upated the Template Description for marketing-hr_landing.php to more accurately describe what the template is used for
2017-03-07,20:51:24,orangegrove,commit,Included Office Location Images  Included images to be used as Featured Images for office-specific pages and the Our Offices landing page
2017-03-07,20:50:32,orangegrove,commit,Update to .gitignore file
2017-03-07,20:17:26,orangegrove,commit,Update to main.js  Added a feature to remove width and height attributes from the .featured-image img (featured page image) to ensure better formatting
2017-03-07,20:16:40,orangegrove,commit,Update to functions.php  Updated file formatting; Added function to help list child pages; Began work on function to limit number of characters in a blurb of text
2017-03-07,20:15:57,orangegrove,commit,Added new responsive styles  Added min-height for .page-container (to ensure the page is always at least 100vh tall; worked with :nth-child for #marketing-hr to ensure pages broke correctly
2017-03-07,20:15:01,orangegrove,commit,Update to _templates.sass  Updated the _templates.sass file for better formatting and clarity
2017-03-07,20:14:30,orangegrove,commit,Included _marketing-hr.sass file  Added _marketing-hr.sass file for template-specific styles
2017-03-07,20:13:55,orangegrove,commit,Changed page name  Changed marketing_landing.php to marketing-hr_landing.php since both the marketing and hr pages using this template now.
2017-03-07,20:13:03,orangegrove,commit,Update to _colors.sass  Included new color $mediumgrey: #DDDDDD
2017-03-07,20:12:38,orangegrove,commit,Style updates to main.sass and main.css  Style updates
2017-03-07,20:12:25,orangegrove,commit,ID added to casestudies_landing.php  Added the ID case-studies-landing to the casestudies_landing.php tempate
2017-03-07,20:12:06,orangegrove,commit,ID added to casestudies_individual.php  Added the ID case-studies-individual to the casestudies_individual.php tempate
2017-03-07,20:10:20,orangegrove,commit,Featured Images
2017-03-07,20:10:10,orangegrove,commit,prepros-6.config
2017-03-07,20:09:46,orangegrove,commit,Included new Featured Images  Include 7 new featured images to test on site.
2017-03-06,22:00:42,orangegrove,commit,Update to functions.php  Formatting changes
2017-03-06,21:55:27,orangegrove,commit,Updates to styles  Updating styles
2017-03-06,21:55:19,orangegrove,commit,Update to _colors.sass  Included new color: dark grey
2017-03-06,21:55:00,orangegrove,commit,Update to _breadcrumbs.sass  Update to styles for breadcrumbs
2017-03-06,21:54:38,orangegrove,commit,Creation of marketing_landing.php  Created template for the Marketing landing page.
2017-03-06,21:54:20,orangegrove,commit,Update to casestudies_landing.php
2017-03-06,21:08:52,orangegrove,commit,Update to casestudies_individual.php  Inclusion of breadcrumbs functionality on page.
2017-03-06,21:08:29,orangegrove,commit,Updates to main.css  Stlying updates
2017-03-06,21:08:21,orangegrove,commit,Updates to main.sass  Style updates
2017-03-06,21:08:12,orangegrove,commit,Created _breadcrumbs.sass  Included styling for new breadcrumb feature
2017-03-06,21:07:48,orangegrove,commit,Updated functions.php  Added function to include breadcrumbs into site.
2017-03-06,21:07:28,orangegrove,commit,Update to prepros-6 config file
2017-03-06,20:45:44,orangegrove,commit,Creation of casestudies_individual.php  Created page template for Individual Case Studies pages.
2017-03-06,20:45:21,orangegrove,commit,Creation of casestudies_landing.php  Created a page template for the Case Studies Landing Page
2017-03-06,20:45:00,orangegrove,commit,Update to main.css  Various updates processed from sass
2017-03-06,20:44:48,orangegrove,commit,Update to main.sass  Removed placeholder styles for .content-wrapper.container
2017-03-06,20:44:22,orangegrove,commit,Creation of .gitignore file  Added .config files to .gitignore list
2017-03-06,20:43:52,orangegrove,commit,Update to _footer.sass  Added margin-top to footer to give desired look
2017-03-06,20:43:36,orangegrove,commit,Update to _header.sass  Added margin bottom from header to give desired look
2017-03-06,20:43:18,orangegrove,commit,Creation of _templates.sass  General styles for page templates
2017-03-06,20:43:02,orangegrove,commit,Update to header.php  Reworked how the Site Title will display in browser tab.
2017-03-06,20:42:35,orangegrove,commit,Added Image acrobat.png  Added Image for PDF File Downloads
2017-03-06,20:42:21,orangegrove,commit,Added Images ppt.png  Added image for PowerPoint File Downloads
2017-03-06,20:42:02,orangegrove,commit,Update to main.js  Removed empty else
2017-03-06,04:17:30,orangegrove,commit,Updates to _fonts.sass  Added sans-serif backup to fonts
2017-03-06,04:17:14,orangegrove,commit,Update to functions.php  Adjusted breakpoints for bootstrap framework
2017-03-06,04:16:05,orangegrove,commit,Update to main.js  Included function to allow footer links to be target=“_blank”
2017-03-06,04:12:13,orangegrove,commit,Recreation of Orange Grove repo
